config_id,mean_loss,mean_accuracy,std_accuracy,max_hidden_units,use_bias,weight_init,learning_rate,batch_size,max_epochs,seed,training_time,fold_accuracies,fold_losses
100,0.5622125370676078,70.96399535423926,5.983389952330433,8,True,xavier,0.05,16,300,42,0.2945671081542969,"['71.43%', '78.05%', '63.41%']","['0.580208', '0.507634', '0.598796']"
101,0.5636162131828905,66.93766937669376,4.982324203482449,8,True,xavier,0.1,8,200,42,0.30432939529418945,"['66.67%', '60.98%', '73.17%']","['0.578204', '0.509233', '0.603412']"
102,0.5591936750034142,66.14401858304298,3.2634195861154742,8,True,xavier,0.1,8,300,42,0.4383981227874756,"['64.29%', '63.41%', '70.73%']","['0.574140', '0.506916', '0.596526']"
103,0.5617748176611764,62.89198606271777,1.4009684183292488,8,True,xavier,0.1,16,200,42,0.2476654052734375,"['64.29%', '60.98%', '63.41%']","['0.579238', '0.510342', '0.595745']"
104,0.5614542857708559,69.37669376693766,2.7636962133294256,8,True,xavier,0.1,16,300,42,0.30525922775268555,"['66.67%', '73.17%', '68.29%']","['0.571707', '0.508561', '0.604095']"
105,0.5673797937432893,67.75067750677506,6.023336252274491,8,True,xavier,0.2,8,200,42,0.3026726245880127,"['66.67%', '60.98%', '75.61%']","['0.584205', '0.513125', '0.604809']"
106,0.5752862793362744,69.37669376693766,4.419920441815743,8,True,xavier,0.2,8,300,42,0.3019833564758301,"['66.67%', '75.61%', '65.85%']","['0.580946', '0.508820', '0.636093']"
107,0.5632902948390366,70.17034456058848,6.026881129237912,8,True,xavier,0.2,16,200,42,0.26955580711364746,"['69.05%', '63.41%', '78.05%']","['0.586838', '0.508426', '0.594607']"
108,0.5592995468953149,67.75067750677506,4.055997167234627,8,True,xavier,0.2,16,300,42,0.4005091190338135,"['66.67%', '63.41%', '73.17%']","['0.573245', '0.508479', '0.596175']"
109,0.5653481133679824,64.53735965931088,1.8615277243780601,8,True,he,0.05,8,200,42,0.23755860328674316,"['61.90%', '65.85%', '65.85%']","['0.574711', '0.510223', '0.611110']"
110,0.5617224387314669,66.2020905923345,6.708259734352454,8,True,he,0.05,8,300,42,0.3089611530303955,"['57.14%', '68.29%', '73.17%']","['0.572678', '0.508142', '0.604347']"
111,0.5683044781944587,65.3890824622532,6.55159339194911,8,True,he,0.05,16,200,42,0.2333817481994629,"['57.14%', '65.85%', '73.17%']","['0.576495', '0.511654', '0.616764']"
112,0.5711840605702304,65.3697251258227,4.133686564427747,8,True,he,0.05,16,300,42,0.16820144653320312,"['59.52%', '68.29%', '68.29%']","['0.573687', '0.532631', '0.607235']"
113,0.5632433344447256,66.182733255904,5.5761897922535235,8,True,he,0.1,8,200,42,0.3045008182525635,"['59.52%', '65.85%', '73.17%']","['0.578219', '0.508650', '0.602861']"
114,0.5590728302357508,65.3890824622532,5.915368909754634,8,True,he,0.1,8,300,42,0.44028687477111816,"['57.14%', '68.29%', '70.73%']","['0.574131', '0.505703', '0.597384']"
115,0.5627048645482374,62.95005807200929,4.106311156716308,8,True,he,0.1,16,200,42,0.23613524436950684,"['57.14%', '65.85%', '65.85%']","['0.579242', '0.508216', '0.600657']"
116,0.5585546656131598,68.6411149825784,8.661883550282965,8,True,he,0.1,16,300,42,0.3921630382537842,"['57.14%', '70.73%', '78.05%']","['0.571701', '0.506539', '0.597425']"
117,0.5676708879617434,65.3890824622532,6.55159339194911,8,True,he,0.2,8,200,42,0.3068249225616455,"['57.14%', '65.85%', '73.17%']","['0.584204', '0.512246', '0.606563']"
118,0.5819874476193853,62.13704994192799,3.6691217186832357,8,True,he,0.2,8,300,42,0.30608034133911133,"['57.14%', '63.41%', '65.85%']","['0.580945', '0.508539', '0.656479']"
119,0.5658393158555047,63.80178087495161,8.610512279125977,8,True,he,0.2,16,200,42,0.2766611576080322,"['52.38%', '65.85%', '73.17%']","['0.586875', '0.508137', '0.602506']"
120,0.5586015426721952,62.1564072783585,6.5728918295373875,8,True,he,0.2,16,300,42,0.4080016613006592,"['54.76%', '60.98%', '70.73%']","['0.573242', '0.508495', '0.594068']"
